rank,file,path,ok,returncode,dg_kcal_mol,kd_M,intermolecular_contacts,charged_charged_contacts,charged_polar_contacts,charged_apolar_contacts,polar_polar_contacts,apolar_polar_contacts,apolar_apolar_contacts,stdout,stderr
149,NB_FP_0142.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0142.pdb,True,0,-9.0,2.6e-07,50,0.0,3.0,10.0,2.0,13.0,22.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0142_model0
[+] No. of intermolecular contacts: 50
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 3.0
[+] No. of charged-apolar contacts: 10.0
[+] No. of polar-polar contacts: 2.0
[+] No. of apolar-polar contacts: 13.0
[+] No. of apolar-apolar contacts: 22.0
[+] Percentage of apolar NIS residues: 42.53
[+] Percentage of charged NIS residues: 18.62
[++] Predicted binding affinity (kcal.mol-1):     -9.0
[++] Predicted dissociation constant (M) at 25.0˚C:  2.6e-07
",
150,NB_FP_0240.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0240.pdb,True,0,-9.0,2.3e-07,38,1.0,3.0,5.0,3.0,17.0,9.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0240_model0
[+] No. of intermolecular contacts: 38
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 3.0
[+] No. of charged-apolar contacts: 5.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 17.0
[+] No. of apolar-apolar contacts: 9.0
[+] Percentage of apolar NIS residues: 43.94
[+] Percentage of charged NIS residues: 18.54
[++] Predicted binding affinity (kcal.mol-1):     -9.0
[++] Predicted dissociation constant (M) at 25.0˚C:  2.3e-07
",
151,NB_FP_0211.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0211.pdb,True,0,-9.0,2.6e-07,46,0.0,3.0,5.0,4.0,18.0,16.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0211_model0
[+] No. of intermolecular contacts: 46
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 3.0
[+] No. of charged-apolar contacts: 5.0
[+] No. of polar-polar contacts: 4.0
[+] No. of apolar-polar contacts: 18.0
[+] No. of apolar-apolar contacts: 16.0
[+] Percentage of apolar NIS residues: 43.65
[+] Percentage of charged NIS residues: 18.94
[++] Predicted binding affinity (kcal.mol-1):     -9.0
[++] Predicted dissociation constant (M) at 25.0˚C:  2.6e-07
",
152,NB_FP_0258.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0258.pdb,True,0,-9.0,2.6e-07,38,3.0,4.0,6.0,3.0,15.0,7.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0258_model0
[+] No. of intermolecular contacts: 38
[+] No. of charged-charged contacts: 3.0
[+] No. of charged-polar contacts: 4.0
[+] No. of charged-apolar contacts: 6.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 15.0
[+] No. of apolar-apolar contacts: 7.0
[+] Percentage of apolar NIS residues: 43.38
[+] Percentage of charged NIS residues: 18.49
[++] Predicted binding affinity (kcal.mol-1):     -9.0
[++] Predicted dissociation constant (M) at 25.0˚C:  2.6e-07
",
153,NB_FP_0193.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0193.pdb,True,0,-8.9,3.0e-07,45,1.0,4.0,10.0,3.0,15.0,12.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0193_model0
[+] No. of intermolecular contacts: 45
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 4.0
[+] No. of charged-apolar contacts: 10.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 15.0
[+] No. of apolar-apolar contacts: 12.0
[+] Percentage of apolar NIS residues: 44.55
[+] Percentage of charged NIS residues: 19.03
[++] Predicted binding affinity (kcal.mol-1):     -8.9
[++] Predicted dissociation constant (M) at 25.0˚C:  3.0e-07
",
154,NB_FP_0098.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0098.pdb,True,0,-8.9,3.0e-07,39,1.0,3.0,11.0,2.0,13.0,9.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0098_model0
[+] No. of intermolecular contacts: 39
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 3.0
[+] No. of charged-apolar contacts: 11.0
[+] No. of polar-polar contacts: 2.0
[+] No. of apolar-polar contacts: 13.0
[+] No. of apolar-apolar contacts: 9.0
[+] Percentage of apolar NIS residues: 43.61
[+] Percentage of charged NIS residues: 19.18
[++] Predicted binding affinity (kcal.mol-1):     -8.9
[++] Predicted dissociation constant (M) at 25.0˚C:  3.0e-07
",
155,NB_FP_0167.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0167.pdb,True,0,-8.9,2.9e-07,50,2.0,5.0,14.0,2.0,11.0,16.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0167_model0
[+] No. of intermolecular contacts: 50
[+] No. of charged-charged contacts: 2.0
[+] No. of charged-polar contacts: 5.0
[+] No. of charged-apolar contacts: 14.0
[+] No. of polar-polar contacts: 2.0
[+] No. of apolar-polar contacts: 11.0
[+] No. of apolar-apolar contacts: 16.0
[+] Percentage of apolar NIS residues: 43.09
[+] Percentage of charged NIS residues: 19.35
[++] Predicted binding affinity (kcal.mol-1):     -8.9
[++] Predicted dissociation constant (M) at 25.0˚C:  2.9e-07
",
156,NB_FP_0261.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0261.pdb,True,0,-8.9,3.0e-07,70,0.0,8.0,12.0,5.0,15.0,30.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0261_model0
[+] No. of intermolecular contacts: 70
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 8.0
[+] No. of charged-apolar contacts: 12.0
[+] No. of polar-polar contacts: 5.0
[+] No. of apolar-polar contacts: 15.0
[+] No. of apolar-apolar contacts: 30.0
[+] Percentage of apolar NIS residues: 43.22
[+] Percentage of charged NIS residues: 18.85
[++] Predicted binding affinity (kcal.mol-1):     -8.9
[++] Predicted dissociation constant (M) at 25.0˚C:  3.0e-07
",
157,NB_FP_0236.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0236.pdb,True,0,-8.9,3.1e-07,56,3.0,6.0,11.0,3.0,13.0,20.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0236_model0
[+] No. of intermolecular contacts: 56
[+] No. of charged-charged contacts: 3.0
[+] No. of charged-polar contacts: 6.0
[+] No. of charged-apolar contacts: 11.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 13.0
[+] No. of apolar-apolar contacts: 20.0
[+] Percentage of apolar NIS residues: 44.06
[+] Percentage of charged NIS residues: 18.65
[++] Predicted binding affinity (kcal.mol-1):     -8.9
[++] Predicted dissociation constant (M) at 25.0˚C:  3.1e-07
",
158,NB_FP_0136.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0136.pdb,True,0,-8.9,2.8e-07,66,0.0,3.0,13.0,4.0,14.0,32.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0136_model0
[+] No. of intermolecular contacts: 66
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 3.0
[+] No. of charged-apolar contacts: 13.0
[+] No. of polar-polar contacts: 4.0
[+] No. of apolar-polar contacts: 14.0
[+] No. of apolar-apolar contacts: 32.0
[+] Percentage of apolar NIS residues: 43.49
[+] Percentage of charged NIS residues: 18.60
[++] Predicted binding affinity (kcal.mol-1):     -8.9
[++] Predicted dissociation constant (M) at 25.0˚C:  2.8e-07
",
159,NB_FP_0019.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0019.pdb,True,0,-8.9,2.8e-07,49,3.0,5.0,11.0,1.0,11.0,18.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0019_model0
[+] No. of intermolecular contacts: 49
[+] No. of charged-charged contacts: 3.0
[+] No. of charged-polar contacts: 5.0
[+] No. of charged-apolar contacts: 11.0
[+] No. of polar-polar contacts: 1.0
[+] No. of apolar-polar contacts: 11.0
[+] No. of apolar-apolar contacts: 18.0
[+] Percentage of apolar NIS residues: 43.68
[+] Percentage of charged NIS residues: 18.39
[++] Predicted binding affinity (kcal.mol-1):     -8.9
[++] Predicted dissociation constant (M) at 25.0˚C:  2.8e-07
",
160,NB_FP_0177.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0177.pdb,True,0,-8.9,2.8e-07,61,0.0,8.0,12.0,3.0,13.0,25.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0177_model0
[+] No. of intermolecular contacts: 61
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 8.0
[+] No. of charged-apolar contacts: 12.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 13.0
[+] No. of apolar-apolar contacts: 25.0
[+] Percentage of apolar NIS residues: 42.72
[+] Percentage of charged NIS residues: 18.78
[++] Predicted binding affinity (kcal.mol-1):     -8.9
[++] Predicted dissociation constant (M) at 25.0˚C:  2.8e-07
",
161,NB_FP_0269.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0269.pdb,True,0,-8.9,3.1e-07,53,7.0,4.0,14.0,5.0,11.0,12.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0269_model0
[+] No. of intermolecular contacts: 53
[+] No. of charged-charged contacts: 7.0
[+] No. of charged-polar contacts: 4.0
[+] No. of charged-apolar contacts: 14.0
[+] No. of polar-polar contacts: 5.0
[+] No. of apolar-polar contacts: 11.0
[+] No. of apolar-apolar contacts: 12.0
[+] Percentage of apolar NIS residues: 43.12
[+] Percentage of charged NIS residues: 18.81
[++] Predicted binding affinity (kcal.mol-1):     -8.9
[++] Predicted dissociation constant (M) at 25.0˚C:  3.1e-07
",
162,NB_FP_0268.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0268.pdb,True,0,-8.9,3.0e-07,50,0.0,6.0,7.0,2.0,15.0,20.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0268_model0
[+] No. of intermolecular contacts: 50
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 6.0
[+] No. of charged-apolar contacts: 7.0
[+] No. of polar-polar contacts: 2.0
[+] No. of apolar-polar contacts: 15.0
[+] No. of apolar-apolar contacts: 20.0
[+] Percentage of apolar NIS residues: 43.93
[+] Percentage of charged NIS residues: 18.46
[++] Predicted binding affinity (kcal.mol-1):     -8.9
[++] Predicted dissociation constant (M) at 25.0˚C:  3.0e-07
",
163,NB_FP_0034.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0034.pdb,True,0,-8.9,2.9e-07,51,1.0,4.0,9.0,4.0,15.0,18.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0034_model0
[+] No. of intermolecular contacts: 51
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 4.0
[+] No. of charged-apolar contacts: 9.0
[+] No. of polar-polar contacts: 4.0
[+] No. of apolar-polar contacts: 15.0
[+] No. of apolar-apolar contacts: 18.0
[+] Percentage of apolar NIS residues: 43.29
[+] Percentage of charged NIS residues: 18.52
[++] Predicted binding affinity (kcal.mol-1):     -8.9
[++] Predicted dissociation constant (M) at 25.0˚C:  2.9e-07
",
164,NB_FP_0150.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0150.pdb,True,0,-8.9,2.9e-07,42,1.0,6.0,7.0,2.0,14.0,12.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0150_model0
[+] No. of intermolecular contacts: 42
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 6.0
[+] No. of charged-apolar contacts: 7.0
[+] No. of polar-polar contacts: 2.0
[+] No. of apolar-polar contacts: 14.0
[+] No. of apolar-apolar contacts: 12.0
[+] Percentage of apolar NIS residues: 43.18
[+] Percentage of charged NIS residues: 18.41
[++] Predicted binding affinity (kcal.mol-1):     -8.9
[++] Predicted dissociation constant (M) at 25.0˚C:  2.9e-07
",
165,NB_FP_0146.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0146.pdb,True,0,-8.9,3.1e-07,45,4.0,3.0,18.0,1.0,8.0,11.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0146_model0
[+] No. of intermolecular contacts: 45
[+] No. of charged-charged contacts: 4.0
[+] No. of charged-polar contacts: 3.0
[+] No. of charged-apolar contacts: 18.0
[+] No. of polar-polar contacts: 1.0
[+] No. of apolar-polar contacts: 8.0
[+] No. of apolar-apolar contacts: 11.0
[+] Percentage of apolar NIS residues: 42.79
[+] Percentage of charged NIS residues: 20.82
[++] Predicted binding affinity (kcal.mol-1):     -8.9
[++] Predicted dissociation constant (M) at 25.0˚C:  3.1e-07
",
166,NB_FP_0200.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0200.pdb,True,0,-8.9,3.2e-07,55,0.0,7.0,11.0,2.0,13.0,22.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0200_model0
[+] No. of intermolecular contacts: 55
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 7.0
[+] No. of charged-apolar contacts: 11.0
[+] No. of polar-polar contacts: 2.0
[+] No. of apolar-polar contacts: 13.0
[+] No. of apolar-apolar contacts: 22.0
[+] Percentage of apolar NIS residues: 44.19
[+] Percentage of charged NIS residues: 18.00
[++] Predicted binding affinity (kcal.mol-1):     -8.9
[++] Predicted dissociation constant (M) at 25.0˚C:  3.2e-07
",
167,NB_FP_0067.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0067.pdb,True,0,-8.9,3.0e-07,45,0.0,2.0,11.0,4.0,15.0,13.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0067_model0
[+] No. of intermolecular contacts: 45
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 2.0
[+] No. of charged-apolar contacts: 11.0
[+] No. of polar-polar contacts: 4.0
[+] No. of apolar-polar contacts: 15.0
[+] No. of apolar-apolar contacts: 13.0
[+] Percentage of apolar NIS residues: 43.96
[+] Percentage of charged NIS residues: 18.45
[++] Predicted binding affinity (kcal.mol-1):     -8.9
[++] Predicted dissociation constant (M) at 25.0˚C:  3.0e-07
",
168,NB_FP_0058.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0058.pdb,True,0,-8.9,2.7e-07,54,2.0,1.0,9.0,4.0,15.0,23.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0058_model0
[+] No. of intermolecular contacts: 54
[+] No. of charged-charged contacts: 2.0
[+] No. of charged-polar contacts: 1.0
[+] No. of charged-apolar contacts: 9.0
[+] No. of polar-polar contacts: 4.0
[+] No. of apolar-polar contacts: 15.0
[+] No. of apolar-apolar contacts: 23.0
[+] Percentage of apolar NIS residues: 43.54
[+] Percentage of charged NIS residues: 18.59
[++] Predicted binding affinity (kcal.mol-1):     -8.9
[++] Predicted dissociation constant (M) at 25.0˚C:  2.7e-07
",
169,NB_FP_0059.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0059.pdb,True,0,-8.8,3.7e-07,36,0.0,1.0,7.0,2.0,14.0,12.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0059_model0
[+] No. of intermolecular contacts: 36
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 1.0
[+] No. of charged-apolar contacts: 7.0
[+] No. of polar-polar contacts: 2.0
[+] No. of apolar-polar contacts: 14.0
[+] No. of apolar-apolar contacts: 12.0
[+] Percentage of apolar NIS residues: 43.31
[+] Percentage of charged NIS residues: 18.59
[++] Predicted binding affinity (kcal.mol-1):     -8.8
[++] Predicted dissociation constant (M) at 25.0˚C:  3.7e-07
",
170,NB_FP_0043.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0043.pdb,True,0,-8.8,3.6e-07,63,0.0,3.0,15.0,1.0,10.0,34.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0043_model0
[+] No. of intermolecular contacts: 63
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 3.0
[+] No. of charged-apolar contacts: 15.0
[+] No. of polar-polar contacts: 1.0
[+] No. of apolar-polar contacts: 10.0
[+] No. of apolar-apolar contacts: 34.0
[+] Percentage of apolar NIS residues: 43.49
[+] Percentage of charged NIS residues: 18.84
[++] Predicted binding affinity (kcal.mol-1):     -8.8
[++] Predicted dissociation constant (M) at 25.0˚C:  3.6e-07
",
171,NB_FP_0246.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0246.pdb,True,0,-8.8,3.6e-07,45,4.0,11.0,9.0,1.0,11.0,9.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0246_model0
[+] No. of intermolecular contacts: 45
[+] No. of charged-charged contacts: 4.0
[+] No. of charged-polar contacts: 11.0
[+] No. of charged-apolar contacts: 9.0
[+] No. of polar-polar contacts: 1.0
[+] No. of apolar-polar contacts: 11.0
[+] No. of apolar-apolar contacts: 9.0
[+] Percentage of apolar NIS residues: 42.99
[+] Percentage of charged NIS residues: 19.54
[++] Predicted binding affinity (kcal.mol-1):     -8.8
[++] Predicted dissociation constant (M) at 25.0˚C:  3.6e-07
",
172,NB_FP_0270.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0270.pdb,True,0,-8.8,3.7e-07,53,1.0,2.0,8.0,5.0,16.0,21.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0270_model0
[+] No. of intermolecular contacts: 53
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 2.0
[+] No. of charged-apolar contacts: 8.0
[+] No. of polar-polar contacts: 5.0
[+] No. of apolar-polar contacts: 16.0
[+] No. of apolar-apolar contacts: 21.0
[+] Percentage of apolar NIS residues: 43.49
[+] Percentage of charged NIS residues: 18.84
[++] Predicted binding affinity (kcal.mol-1):     -8.8
[++] Predicted dissociation constant (M) at 25.0˚C:  3.7e-07
",
173,NB_FP_0279.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0279.pdb,True,0,-8.8,3.6e-07,47,0.0,4.0,2.0,6.0,20.0,15.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0279_model0
[+] No. of intermolecular contacts: 47
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 4.0
[+] No. of charged-apolar contacts: 2.0
[+] No. of polar-polar contacts: 6.0
[+] No. of apolar-polar contacts: 20.0
[+] No. of apolar-apolar contacts: 15.0
[+] Percentage of apolar NIS residues: 43.81
[+] Percentage of charged NIS residues: 18.35
[++] Predicted binding affinity (kcal.mol-1):     -8.8
[++] Predicted dissociation constant (M) at 25.0˚C:  3.6e-07
",
174,NB_FP_0031.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0031.pdb,True,0,-8.8,3.3e-07,40,4.0,3.0,11.0,3.0,12.0,7.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0031_model0
[+] No. of intermolecular contacts: 40
[+] No. of charged-charged contacts: 4.0
[+] No. of charged-polar contacts: 3.0
[+] No. of charged-apolar contacts: 11.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 12.0
[+] No. of apolar-apolar contacts: 7.0
[+] Percentage of apolar NIS residues: 43.42
[+] Percentage of charged NIS residues: 18.94
[++] Predicted binding affinity (kcal.mol-1):     -8.8
[++] Predicted dissociation constant (M) at 25.0˚C:  3.3e-07
",
175,NB_FP_0026.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0026.pdb,True,0,-8.8,3.8e-07,45,2.0,7.0,10.0,6.0,16.0,4.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0026_model0
[+] No. of intermolecular contacts: 45
[+] No. of charged-charged contacts: 2.0
[+] No. of charged-polar contacts: 7.0
[+] No. of charged-apolar contacts: 10.0
[+] No. of polar-polar contacts: 6.0
[+] No. of apolar-polar contacts: 16.0
[+] No. of apolar-apolar contacts: 4.0
[+] Percentage of apolar NIS residues: 43.75
[+] Percentage of charged NIS residues: 19.21
[++] Predicted binding affinity (kcal.mol-1):     -8.8
[++] Predicted dissociation constant (M) at 25.0˚C:  3.8e-07
",
176,NB_FP_0172.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0172.pdb,True,0,-8.8,3.4e-07,51,0.0,3.0,10.0,1.0,12.0,25.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0172_model0
[+] No. of intermolecular contacts: 51
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 3.0
[+] No. of charged-apolar contacts: 10.0
[+] No. of polar-polar contacts: 1.0
[+] No. of apolar-polar contacts: 12.0
[+] No. of apolar-apolar contacts: 25.0
[+] Percentage of apolar NIS residues: 43.52
[+] Percentage of charged NIS residues: 18.29
[++] Predicted binding affinity (kcal.mol-1):     -8.8
[++] Predicted dissociation constant (M) at 25.0˚C:  3.4e-07
",
177,NB_FP_0110.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0110.pdb,True,0,-8.8,3.6e-07,43,4.0,4.0,7.0,3.0,13.0,12.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0110_model0
[+] No. of intermolecular contacts: 43
[+] No. of charged-charged contacts: 4.0
[+] No. of charged-polar contacts: 4.0
[+] No. of charged-apolar contacts: 7.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 13.0
[+] No. of apolar-apolar contacts: 12.0
[+] Percentage of apolar NIS residues: 43.05
[+] Percentage of charged NIS residues: 18.45
[++] Predicted binding affinity (kcal.mol-1):     -8.8
[++] Predicted dissociation constant (M) at 25.0˚C:  3.6e-07
",
178,NB_FP_0282.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0282.pdb,True,0,-8.8,3.3e-07,44,2.0,4.0,9.0,2.0,14.0,13.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0282_model0
[+] No. of intermolecular contacts: 44
[+] No. of charged-charged contacts: 2.0
[+] No. of charged-polar contacts: 4.0
[+] No. of charged-apolar contacts: 9.0
[+] No. of polar-polar contacts: 2.0
[+] No. of apolar-polar contacts: 14.0
[+] No. of apolar-apolar contacts: 13.0
[+] Percentage of apolar NIS residues: 44.93
[+] Percentage of charged NIS residues: 18.66
[++] Predicted binding affinity (kcal.mol-1):     -8.8
[++] Predicted dissociation constant (M) at 25.0˚C:  3.3e-07
",
179,NB_FP_0069.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0069.pdb,True,0,-8.8,3.4e-07,51,1.0,3.0,8.0,3.0,15.0,21.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0069_model0
[+] No. of intermolecular contacts: 51
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 3.0
[+] No. of charged-apolar contacts: 8.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 15.0
[+] No. of apolar-apolar contacts: 21.0
[+] Percentage of apolar NIS residues: 44.08
[+] Percentage of charged NIS residues: 18.79
[++] Predicted binding affinity (kcal.mol-1):     -8.8
[++] Predicted dissociation constant (M) at 25.0˚C:  3.4e-07
",
180,NB_FP_0219.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0219.pdb,True,0,-8.7,4.0e-07,49,2.0,7.0,11.0,4.0,13.0,12.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0219_model0
[+] No. of intermolecular contacts: 49
[+] No. of charged-charged contacts: 2.0
[+] No. of charged-polar contacts: 7.0
[+] No. of charged-apolar contacts: 11.0
[+] No. of polar-polar contacts: 4.0
[+] No. of apolar-polar contacts: 13.0
[+] No. of apolar-apolar contacts: 12.0
[+] Percentage of apolar NIS residues: 43.26
[+] Percentage of charged NIS residues: 18.84
[++] Predicted binding affinity (kcal.mol-1):     -8.7
[++] Predicted dissociation constant (M) at 25.0˚C:  4.0e-07
",
181,NB_FP_0228.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0228.pdb,True,0,-8.7,4.0e-07,49,1.0,6.0,7.0,5.0,16.0,14.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0228_model0
[+] No. of intermolecular contacts: 49
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 6.0
[+] No. of charged-apolar contacts: 7.0
[+] No. of polar-polar contacts: 5.0
[+] No. of apolar-polar contacts: 16.0
[+] No. of apolar-apolar contacts: 14.0
[+] Percentage of apolar NIS residues: 43.38
[+] Percentage of charged NIS residues: 18.49
[++] Predicted binding affinity (kcal.mol-1):     -8.7
[++] Predicted dissociation constant (M) at 25.0˚C:  4.0e-07
",
